feature,group,rf_mdi,rf_perm_mean,rf_perm_std,mlp_perm_mean,mlp_perm_std
V_bin13,V,0.006470581753989325,0.0036210250160836417,0.0031396755960155956,0.005031624987961062,0.005314282638310367
V_bin14,V,0.006429664922260935,0.0008784018292500861,0.002720916737753725,0.01898434916280787,0.004646227494914695
V_bin15,V,0.00595583824690674,0.0019566237791031576,0.0030163060692262964,0.004460897572383797,0.0065397400462728775
V_bin16,V,0.006489108360869617,0.0005480349411379796,0.002400614454452337,0.0004580430898938152,0.005285729318848532
V_bin17,V,0.007087415281503896,0.009290453866840406,0.003583865115273607,-5.981839317712456e-05,0.006914775435729254
V_bin18,V,0.008258108251602485,0.004342043524790373,0.00359705279140294,0.015138743519841458,0.0076572993057507956
V_bin19,V,0.00770888935325058,0.0053627027438023535,0.0034346169227953663,0.007974341748247786,0.004591170539639233
V_bin20,V,0.008053640454983396,0.0008683912572120829,0.002824588205793473,0.0008437033373177434,0.00628021401210824
V_bin21,V,0.009088607660940533,0.007622523859435171,0.0036542952065789927,0.005545877252020537,0.005827582040894672
V_bin22,V,0.007043706168531961,0.003745989107233353,0.00325245292795783,0.008153772714815636,0.006987741779412724
V_bin23,V,0.007602069935454887,0.0007729990671356823,0.0037126417244309163,0.0007515336040105125,0.005772081071464147
V_bin24,V,0.00672939976898712,-0.00034876165849824595,0.003196845387090965,0.00745630550376235,0.0069457467572166835
V_bin25,V,0.007783972636986947,-0.0015747792646326716,0.002157721906196351,0.0074148277157422265,0.005495136878412595
V_bin26,V,0.007889369059198325,-0.0013744241297839281,0.0031511673339298728,0.016632599199016326,0.005909222229462082
V_bin27,V,0.007972213870685568,-0.0005974117236000498,0.0036358060382445535,0.005904891129428991,0.005080706714090668
V_bin28,V,0.008191297352108075,0.0014800069362166269,0.002532468302051686,0.007989091639623077,0.005848243952792192
V_bin29,V,0.007999943798272952,0.002963247121253565,0.0036497441156458058,0.0025730432345726583,0.007054715179003713
V_bin30,V,0.007774335056552283,0.0005583420170492034,0.003399833092771284,0.011036546822991803,0.0059894791290843715
V_bin31,V,0.00985340415774835,-0.0008903492975807318,0.004194825261626259,-0.0006114863435910871,0.005396334842320423
LBP_bin0,LBP,0.015396945477351306,0.0030895026757531085,0.003553300861174133,0.009352236617347265,0.007678851996122793
LBP_bin1,LBP,0.014850225122457152,-6.85827551833477e-05,0.00523205339502932,-0.002922989753984366,0.004893290334974534
LBP_bin2,LBP,0.014639931688488522,0.0024111045867603637,0.004140514236474563,0.007820069077391186,0.0071458653954546356
LBP_bin3,LBP,0.0065508058388789045,0.001728105321660789,0.0022288555838684944,0.005109969572239866,0.004444660820544509
LBP_bin4,LBP,0.008088514623454236,0.00022078243593160647,0.0041992716480842174,0.016069860334295714,0.007224732858637978
LBP_bin5,LBP,0.007321701326241967,0.003613443376206963,0.002509427289211051,0.0038634334909963004,0.005526173441084109
LBP_bin6,LBP,0.0074566295765793825,-0.001513006606992769,0.002443381580927958,0.00662696939981671,0.006624328100796219
